,vehicle_speed,throttle_percentage,acc_calculated
598,6.85555,0.15,0.032555556
599,6.86112,0.15,0.029472222
600,6.86616,0.15,0.02975
601,6.87183,0.15,0.03
602,6.87696,0.15,0.03025
603,6.88272,0.15,0.030472222
604,6.88793,0.15,0.030666667
605,6.89376,0.15,0.030861111
606,6.89904,0.15,0.031
607,6.90492,0.15,0.031138889
608,6.91025,0.15,0.031305556
609,6.91619,0.15,0.031416667
610,6.92156,0.15,0.031527778
611,6.92754,0.15,0.031611111
612,6.93294,0.15,0.028583333
613,6.93783,0.15,0.029
614,6.94338,0.15,0.029333333
615,6.94839,0.15,0.028583333
616,6.95367,0.15,0.027944444
617,6.95845,0.15,0.028388889
618,6.96389,0.15,0.028777778
619,6.96881,0.15,0.029138889
620,6.97438,0.15,0.029472222
621,6.97942,0.15,0.02975
622,6.98509,0.15,0.030027778
623,6.99023,0.15,0.029222222
624,6.99561,0.15,0.0285
625,7.00049,0.15,0.025805556
626,7.0049,0.15,0.026444444
627,7.01001,0.15,0.027027778
628,7.01463,0.15,0.027555556
629,7.01993,0.15,0.028027778
630,7.02472,0.15,0.027416667
631,7.0298,0.15,0.026888889
632,7.0344,0.15,0.027416667
633,7.03967,0.15,0.027888889
634,7.04444,0.15,0.027333333
635,7.04951,0.15,0.026805556
636,7.05409,0.15,0.027333333
637,7.05935,0.15,0.027833333
638,7.06411,0.15,0.027222222
639,7.06915,0.15,0.026694444
640,7.07372,0.15,0.024194444
641,7.07786,0.15,0.024972222
642,7.08271,0.15,0.025694444
643,7.08711,0.15,0.025333333
644,7.09183,0.15,0.024972222
645,7.0961,0.15,0.025694444
646,7.10108,0.15,0.026333333
647,7.10558,0.15,0.025888889
648,7.1104,0.15,0.0255
649,7.11476,0.15,0.025138889
650,7.11945,0.15,0.024833333
651,7.1237,0.15,0.022472222
652,7.12754,0.15,0.023388889
653,7.13212,0.15,0.024277778
654,7.13628,0.15,0.024055556
655,7.14078,0.15,0.023805556
656,7.14485,0.15,0.023611111
657,7.14928,0.15,0.023444444
658,7.15329,0.15,0.023277778
659,7.15766,0.15,0.023111111
660,7.16161,0.15,0.024
661,7.1663,0.15,0.024833333
662,7.17055,0.15,0.022472222
663,7.17439,0.15,0.022388889
664,7.17861,0.15,0.022333333
665,7.18243,0.15,0.022277778
666,7.18663,0.15,0.022194444
667,7.19042,0.15,0.022166667
668,7.19461,0.15,0.022138889
669,7.19839,0.15,0.022083333
670,7.20256,0.15,0.022055556
671,7.20633,0.15,0.022
672,7.21048,0.15,0.021972222
673,7.21424,0.15,0.019888889
674,7.21764,0.15,0.020055556
675,7.22146,0.15,0.020222222
676,7.22492,0.15,0.020361111
677,7.22879,0.15,0.0205
678,7.2323,0.15,0.020611111
679,7.23621,0.15,0.020694444
680,7.23975,0.15,0.020805556
681,7.2437,0.15,0.020888889
682,7.24727,0.15,0.020972222
683,7.25125,0.15,0.021027778
684,7.25484,0.15,0.019027778
685,7.2581,0.15,0.019305556
686,7.26179,0.15,0.0195
687,7.26512,0.15,0.019722222
688,7.26889,0.15,0.019916667
689,7.27229,0.15,0.019055556
690,7.27575,0.15,0.018277778
691,7.27887,0.15,0.018583333
692,7.28244,0.15,0.018888889
693,7.28567,0.15,0.019166667
694,7.28934,0.15,0.019416667
695,7.29266,0.15,0.019611111
696,7.2964,0.15,0.019805556
697,7.29979,0.15,0.017944444
698,7.30286,0.15,0.017277778
699,7.30601,0.15,0.016638889
700,7.30885,0.15,0.017111111
701,7.31217,0.15,0.017583333
702,7.31518,0.15,0.017972222
703,7.31864,0.15,0.018305556
704,7.32177,0.15,0.018638889
705,7.32535,0.15,0.018916667
706,7.32858,0.15,0.018138889
707,7.33188,0.15,0.017472222
708,7.33487,0.15,0.017888889
709,7.33832,0.15,0.018222222
710,7.34143,0.15,0.017527778
711,7.34463,0.15,0.016916667
712,7.34752,0.15,0.015277778
713,7.35013,0.15,0.015888889
714,7.35324,0.15,0.016444444
715,7.35605,0.15,0.015916667
716,7.35897,0.15,0.015444444
717,7.36161,0.15,0.016027778
718,7.36474,0.15,0.016583333
719,7.36758,0.15,0.017055556
720,7.37088,0.15,0.0175
721,7.37388,0.15,0.016888889
722,7.37696,0.15,0.016277778
723,7.37974,0.15,0.014722222
724,7.38226,0.15,0.015416667
725,7.38529,0.15,0.016027778
726,7.38803,0.15,0.0155
727,7.39087,0.15,0.015055556
728,7.39345,0.15,0.014666667
729,7.39615,0.15,0.014305556
730,7.3986,0.15,0.015027778
731,7.40156,0.15,0.015638889
732,7.40423,0.15,0.015194444
733,7.40703,0.15,0.014777778
734,7.40955,0.15,0.015416667
735,7.41258,0.15,0.016055556
736,7.41533,0.15,0.014527778
737,7.41781,0.15,0.014138889
738,7.42042,0.15,0.013833333
739,7.42279,0.15,0.013555556
740,7.4253,0.15,0.013305556
741,7.42758,0.15,0.014111111
742,7.43038,0.15,0.014833333
743,7.43292,0.15,0.014444444
744,7.43558,0.15,0.014083333
745,7.43799,0.15,0.013805556
746,7.44055,0.15,0.013527778
747,7.44286,0.15,0.01325
748,7.44532,0.15,0.013027778
749,7.44755,0.15,0.011805556
750,7.44957,0.15,0.012722222
751,7.45213,0.15,0.013583333
752,7.45446,0.15,0.013333333
753,7.45693,0.15,0.013083333
754,7.45917,0.15,0.012888889
755,7.46157,0.15,0.012694444
756,7.46374,0.15,0.0125
757,7.46607,0.15,0.012361111
758,7.46819,0.15,0.012222222
759,7.47047,0.15,0.012055556
760,7.47253,0.15,0.010916667
761,7.4744,0.15,0.011972222
762,7.47684,0.15,0.012888889
763,7.47904,0.15,0.012694444
764,7.48141,0.15,0.012527778
765,7.48355,0.15,0.011305556
766,7.48548,0.15,0.011277778
767,7.48761,0.15,0.01125
768,7.48953,0.15,0.010166667
769,7.49127,0.15,0.010222222
770,7.49321,0.15,0.010277778
771,7.49497,0.15,0.009333333
772,7.49657,0.15,0.009472222
773,7.49838,0.15,0.009583333
774,7.50002,0.15,0.009722222
775,7.50188,0.15,0.009833333
776,7.50356,0.15,0.008888889
777,7.50508,0.15,0.009055556
778,7.50682,0.15,0.009222222
779,7.5084,0.15,0.008361111
780,7.50983,0.15,0.008611111
781,7.5115,0.15,0.008833333
782,7.51301,0.15,0.009
783,7.51474,0.15,0.009166667
784,7.51631,0.15,0.008305556
785,7.51773,0.15,0.008555556
786,7.51939,0.15,0.008777778
787,7.52089,0.15,0.007944444
788,7.52225,0.15,0.008222222
789,7.52385,0.15,0.008444444
790,7.52529,0.15,0.008694444
791,7.52698,0.15,0.008916667
792,7.5285,0.15,0.008027778
793,7.52987,0.15,0.008305556
794,7.53149,0.15,0.008555556
795,7.53295,0.15,0.00775
796,7.53428,0.15,0.008055556
797,7.53585,0.15,0.008305556
798,7.53727,0.15,0.008555556
799,7.53893,0.15,0.00875
800,7.54042,0.15,0.008944444
801,7.54215,0.15,0.009166667
802,7.54372,0.15,0.009305556
803,7.5455,0.15,0.010472222
804,7.54749,0.15,0.010527778
805,7.54929,0.15,0.010555556
806,7.55129,0.15,0.010583333
807,7.5531,0.15,0.010611111
808,7.55511,0.15,0.010638889
809,7.55693,0.15,0.010638889
810,7.55894,0.15,0.011694444
811,7.56114,0.15,0.011638889
812,7.56313,0.15,0.011555556
813,7.5653,0.15,0.011472222
814,7.56726,0.15,0.010388889
815,7.56904,0.15,0.009388889
816,7.57064,0.15,0.009527778
817,7.57247,0.15,0.010722222
818,7.5745,0.15,0.010722222
